group,ret_sec,rt,mz,intensity,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5
M317_R582_3057,582.0639648,9.7,317.2058716,0,0,0,24139.63636,22872.17749,26606.51948,0,71083.31169,68513.19048,46491.04762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10812.73593,11921.68398,0,9670.268398,11759.20779,0,16496.35065,20784.1039,22630.12987,19763.01732,0,0,13150.32468,167729.5195
M317_R686_3058,686.3876953,11.44,317.2064722,0,0,0,31804.63203,37491.56277,40972.36364,0,0,0,0,6117.714286,0,0,0,0,0,5763.670996,0,0,0,0,0,0,6545.4329,22545.36364,0,0,0,0,14594.45022,15402.82684,0,0,13804.69697,0,0,0,0,22094.57576,0,0,21171.17316,221217.7229
M317_R720_3059,719.7692261,12,317.2123835,18559.91342,73325.72294,0,162642.697,212045.9351,240944.29,42931.93506,118678.316,71448.20779,118457.974,18175.7619,13570.06061,0,17217.98268,24450.5368,6192.298701,14022.61905,22022.01299,17206.0303,17711.26407,19178.41991,21284.7013,23737.62771,17839.36797,24639.98701,39712.82684,34752.91775,32971.11255,21127.67532,38376.1039,58117.80952,19959.41558,128189.6494,65240.59307,18559.91342,50127.06926,53949.60606,61863.07359,99462.94805,32073.25108,12174.41991,76806.70996,452569.3853
M317_R556_3062,556.0761414,9.27,317.2319769,0,9878.186147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M317_R747_3061,747.1729431,12.45,317.2324067,0,12999.06926,10041.38961,0,8435.930736,7290.47619,15964.21212,0,0,0,0,0,0,0,0,0,0,0,8960.415584,11873.36364,16954.25974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M317_R659_3060,659.1287842,10.99,317.2326542,0,0,0,0,0,0,0,0,0,0,14411.50216,0,0,0,0,0,0,0,0,0,0,0,0,0,13884.51515,32884.84416,20330.58874,24640.1645,7449.233766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M317_R682_3063,681.5812073,11.36,317.2596573,0,34949.95238,0,20157.21645,26609.77056,24961.29437,34025.62771,21104.37662,10770.90476,9298.675325,27345.03896,10331.7316,0,0,0,0,10388.45455,0,0,7555.207792,7091.285714,8253.064935,0,0,0,0,0,0,0,11052.90476,19883.93074,0,21660.16883,13580.33333,0,11409.84848,13856.68831,13917.47619,7795.748918,0,6558.359307,19355.8355,25702.83117
M317_R741_3064,741.425293,12.36,317.2924194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7708.121212
M317_R723_3065,723.2718506,12.05,317.3549217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8999.666667
M317_R741_3066,740.9545898,12.35,317.493042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7528.952381
M318_R771_3068,771.4167786,12.86,317.9685223,0,0,0,0,0,0,0,9623.519481,16489.51948,12244.33333,0,0,34140.89177,57625.65801,48748.47186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M318_R340_3069,340.0699463,5.67,318.069496,0,9080.974026,0,7413.406926,9483.532468,10125.58874,0,7418.424242,13753.67532,7699.701299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M318_R491_3070,491.1941223,8.19,318.070273,0,0,0,0,0,0,0,7444.372294,20542.2381,9090.792208,0,0,0,10062.67965,9543.831169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M318_R449_3072,449.4752502,7.49,318.1420987,0,0,0,0,6275.04329,7139.809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13807.44589
M318_R385_3073,384.890213,6.41,318.164112,0,0,0,0,7406.419913,7643.402597,5619.203463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10093.81385
M318_R613_3074,613.3605347,10.22,318.1784243,0,0,0,0,6038.450216,7284.731602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48935.96104,13313.12554,10597.09091,12089.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M318_R464_3076,463.7825317,7.73,318.1805302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23665.70563,0,0,0
M318_R233_3075,233.1478653,3.89,318.1920166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24597.71429,0,0,7982.181818,8148.766234,0,0,0,22272.65801,20225.36364,11001.09957,16978.45887,0,0,0,0,0,0,0,0,0,0,13588.12554,10366.03896,8022.17316,0,0
M318_R461_3077,460.6166992,7.68,318.1999164,0,14935.48485,0,27656.80519,35623.77922,37023.77922,15740.30736,0,0,0,0,0,0,0,0,0,14627.38528,8750.277056,0,0,0,0,0,0,6378.298701,9681.484848,7433.636364,9765.051948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M318_R711_3078,711.1976318,11.85,318.2156372,0,13142.03896,0,30508.9697,39650.08658,44853.02165,7432.753247,10977.83117,12715.57143,21319.74026,0,0,0,0,0,0,7914.852814,0,0,0,0,0,0,0,13080.30736,7022.038961,0,5888.87013,0,6610.012987,10319.42424,0,23285.38961,11786.50649,0,8490.809524,9542.532468,10859.75758,18097.05195,5945.199134,0,13929.93506,41414.63203
M319_R347_3080,347.4281616,5.79,318.9037545,0,0,0,0,0,0,0,0,0,0,0,0,0,11643.04762,16824.21212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13708.85714,0,0,0,0
M319_R750_3079,750.3781128,12.51,318.9048767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8252.597403,0,6855.627706,6165.991342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21824.64069,15310.90909,0,0,0
M319_R790_3081,790.1467285,13.17,318.9622509,0,0,0,0,0,0,0,0,0,0,0,0,24968.50649,44230.8658,36549.96537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M319_R486_3082,486.0326843,8.1,318.980072,0,0,0,0,0,0,0,0,0,0,0,0,14118.93939,28022.82251,59188.59307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M319_R658_3083,658.0586548,10.97,319.0944824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13151.54113,0,0,0,0,0,0,0,0,0,0,0,0
M319_R341_3084,341.1761169,5.69,319.1170959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7058.17316
M319_R320_3085,319.6263733,5.33,319.1184082,0,0,0,0,6265.852814,6880.151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22673.80952
M319_R597_3086,596.5626831,9.94,319.1367493,0,0,0,0,0,0,0,0,0,0,0,14967.06926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M319_R185_3087,185.2670288,3.09,319.1392212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5792.857143,6853.645022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M319_R288_3090,287.5872345,4.79,319.1539719,0,0,0,0,7122.073593,7666.839827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12395.37662,11140.51082
M319_R396_3089,396.4147034,6.61,319.1544819,0,0,0,0,6063.831169,5845.077922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8014.844156,15084.08658
M319_R571_3088,571.2774658,9.52,319.1546976,0,0,0,0,0,0,0,7797.333333,8504.52381,7190.727273,55335.28139,0,0,0,0,0,0,9036.645022,0,0,0,8316.727273,7541.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17355.92641
M319_R786_3091,786.333252,13.11,319.1676636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8720.454545,0,0,0,0
M319_R326_3092,326.0726013,5.43,319.1758092,8924.943723,38046.39394,37085.74892,20324.09091,26680.75758,27577.52814,39216.97403,21817.92208,17135.37662,11003.54113,10465.87879,0,0,0,0,22042.66234,106088.9957,72978.21212,21386.87446,25927.35498,26762.47619,35874.49351,34729.06926,6967.627706,39067.48052,68093.51948,34335.31602,63221.42857,13431.95238,15805.22078,13057.5671,0,11350.8961,32883.77922,8924.943723,23207.54545,28240.04762,28607.24242,12025.18182,11333.9697,22693.25108,29570.82684,29548.25108
M319_R480_3093,479.781311,8,319.190979,0,0,0,19165.60606,20539.88745,27008.22944,0,15331.89177,14621.99134,11094.63636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7837.658009,0,0,0,0,0,0,0,0,8252.792208,0,7429.203463,9551.601732,8981.714286,8033,0,0,12681.36797,143264.6883
M319_R568_3094,567.5165405,9.46,319.1911965,0,0,0,10030.90476,11448.72294,9888.320346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33554.70996,9603.658009,6455.571429,8136.571429,0,0,0,0,0,0,0,0,0,0,7245.584416,0,0,0,27767.94805
M319_R702_3095,701.7626953,11.7,319.1923733,0,0,0,7563.419913,7960.584416,8656.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30749.51082
M319_R1155_3096,1155.482056,19.26,319.196143,0,0,0,0,0,0,31063.8961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M319_R413_3098,413.3759613,6.89,319.2118351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341.428571,0,0,0,0,0,10678.29004,0,8397.571429,11727.23377,8777.91342,12535.92641,0,11252.66667,0,0,7527.090909,0,0,0,0,0,0,0,0,0,0
M319_R334_3097,334.3242493,5.57,319.2124561,0,0,0,10932.94372,15801.2684,15113.62338,8643.714286,37935.11688,19118.70996,14067.01299,0,0,0,0,0,0,19635,9249.82684,0,0,0,0,0,0,0,0,0,0,0,0,6942.640693,0,0,8643.385281,0,0,7517.341991,7556.095238,0,0,0,0,0
M319_R677_3099,677.3881226,11.29,319.2171936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5917.116883
M319_R779_3100,778.7180481,12.98,319.2299118,8114.883117,34638.11255,9825.558442,25890.94805,26282.06061,25837.48485,29112.64502,453258.9957,221132.026,148221.632,20904.19913,5808.52381,12224.2684,28622.19913,38527.68831,14346,15344.12121,8869.978355,6835.939394,8182.519481,7442.987013,6309.878788,6229.95671,0,7476.987013,11255.19481,7843.69697,7468.246753,0,11584.59307,12955.57143,0,12049.51082,7667.831169,8114.883117,23943.2381,31161.91775,28772.25108,21230.95671,33050.90043,7918.021645,18185.64069,22318.01732
M319_R717_3101,716.9824219,11.95,319.2390901,0,0,0,0,12653.30736,12632.49351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M319_R769_3102,769.256897,12.82,319.3072815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6745.969697,0,0,0,0,0,0,0,0,0,0
M319_R769_3103,768.6299438,12.81,319.3734293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19734.54978,0,0,0,0,0,0,0,0,0,0
M320_R752_3104,751.7062073,12.53,319.9652405,0,0,0,0,0,0,0,0,9474.380952,6615.372294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M320_R506_3105,505.9700012,8.43,320.1397862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8597.562771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M320_R593_3106,593.0666504,9.88,320.1409701,0,0,0,0,0,0,0,0,0,0,9383.688312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M320_R358_3107,357.9248047,5.97,320.1573353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9232.229437
M320_R326_3108,325.6859436,5.43,320.1793082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14495.45887,10050.08225,0,0,0,0,0,0,0,9549.636364,0,8768.943723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M320_R600_3109,600.2832642,10,320.1874695,0,0,8245.601732,118505.0303,130912.342,132864.2078,49513.64502,0,0,0,29368.671,8691.575758,7210.233766,18394.72294,28496.71861,0,18833.15152,0,0,0,0,9151,7211.796537,0,7408.857143,7637.800866,0,7246.316017,7406.064935,0,0,0,0,0,0,9620.904762,13094.09091,11740.03896,0,0,0,19392.39394,9039.04329
M320_R775_3110,774.9133606,12.92,320.1903168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5511.012987,28606.67965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M320_R1025_3111,1025.295288,17.09,320.2233887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7331.008658,11858.66667,11425.52381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9720.744589,0,0
M320_R771_3112,771.2303467,12.85,320.2338257,0,0,0,0,0,0,0,103895.1255,46078.98268,31476.77922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152456.368,0,0,0,7960.943723,10281.74459,0,0,0,0,6792.774892
M321_R750_3114,750.3781128,12.51,320.9018555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8889.809524,6523.34632,0,0,0
M321_R684_3116,684.2425537,11.4,321.037262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7189.017316,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R523_3117,522.969,8.72,321.0456238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7167.12987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R431_3118,431.2506714,7.19,321.0776391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27503.64935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R488_3119,487.8009033,8.13,321.0984192,0,0,0,0,0,0,0,0,0,0,12234.58874,0,0,9452.640693,7502.359307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10218.32035,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R852_3120,851.904541,14.2,321.1093666,0,0,6523.969697,0,0,0,7775.65368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R336_3122,336.1984863,5.6,321.1343036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11995.93074
M321_R51_3124,51.04120636,0.85,321.1349073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11937.1039
M321_R235_3123,235.4200745,3.92,321.1349643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13972.02165
M321_R445_3121,444.8278809,7.41,321.1353448,0,0,0,11267.81385,6920.670996,16387.54113,0,0,0,0,0,0,0,0,0,0,11387.5671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R854_3125,853.7789612,14.23,321.1381246,0,0,0,0,0,0,5601.705628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R211_3126,210.6361847,3.51,321.1547546,0,10385.83983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10896.45887,10493.42424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R443_3127,442.7332764,7.38,321.1702881,0,0,0,16316.67532,22750.16017,24414.13853,0,23406.8658,21208.87879,17130.16017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21167.85281,17023.78788,10464.82684,13421.35498,0,8496.064935,7226.168831,0,7492.52381,14491.42424,0,11769.93939,17551.45455,16829.09091,26079.94372,0,0,9233.883117,66003.41991
M321_R678_3128,677.6936951,11.29,321.1743958,19199.11688,0,0,18334.48485,20039.83983,21729.27706,41204.40693,0,0,0,5719.519481,0,0,9634.943723,8478.069264,69781.54978,114841.2078,39486.81818,93050.60173,108417.9697,108777.7273,17606.86147,99269.5368,64398.55844,140716.71,70604.69264,62215.1342,85099.41126,43288.93506,161959.8442,182139.7922,25963.37662,246265.3377,33289.99567,19199.11688,47205.34199,46480.11255,49497.60173,50207.05628,61933.41991,26599.46753,32198.28139,101710.0433
M321_R251_3129,251.4894867,4.19,321.1910553,0,0,0,0,0,0,6650.887446,0,0,0,7287.203463,0,0,0,0,0,22202.93506,8698.917749,8913.515152,9252.454545,9333.112554,0,8974.61039,0,11513.46753,18658.48918,12058.97403,17578.92208,0,15058,0,0,7901.285714,0,0,0,0,0,0,0,0,7127.891775,0
M321_R516_3130,516.14151,8.6,321.2064122,8282.991342,15586.7619,12084.63636,38094.50649,49015.25108,49138.85281,0,20607.04329,23930.08225,20336.15152,0,0,0,0,0,7155.839827,12821.30736,9273.012987,7340.91342,7306.181818,7651.714286,0,6895.666667,6523.549784,15744.5671,10514.81818,7616.025974,8749.246753,0,24556.21212,24227.07792,0,20859.61039,40417.44589,8282.991342,19328.54545,24993.42424,28691.51948,58090.43723,15021.38528,9536.52381,40196.1645,299338.6494
M321_R1037_3134,1037.390991,17.29,321.2107544,0,0,0,6509.25974,12238.51948,9100.212121,90929.04329,0,0,0,0,0,0,0,0,0,0,0,24560.83983,28087.62338,12299.82684,0,0,0,0,0,0,0,125399.29,0,0,0,0,0,0,0,0,0,0,0,35353.33333,0,8733.865801
M321_R814_3132,813.859436,13.56,321.2108154,0,0,0,0,0,0,0,0,0,0,0,449522.0693,0,0,0,0,0,0,0,0,0,0,0,0,192114.4113,0,0,0,1462896.697,0,0,231219.9351,0,241425.6364,0,0,0,0,0,0,0,0,0
M321_R1159_3131,1159.421936,19.32,321.2111679,0,13241.85281,0,0,21956.22944,13016.44589,309263.4632,0,0,0,0,0,0,0,0,0,0,0,24332.81818,88555.09524,86071.58442,0,0,0,0,0,0,0,107972.6364,0,0,0,0,0,0,0,0,0,0,20492.24675,93957.24675,0,0
M321_R639_3133,639.3845215,10.66,321.2193867,18776.48918,32366.03463,11647.9697,32712.80952,29280.24242,33871.33766,36639.49784,115443.2294,80255.39394,39268.2684,32260.09524,6661.385281,43267.62338,145981.9134,247215.2381,38380.41126,258326.7532,53759.67532,41159.98268,42695.51515,42641.85714,49624.48485,17042.36797,8612.891775,44568.42424,32197.02165,29546.86147,34899.66234,12329.55411,57356.52381,38533.82251,29386.82251,21277.79221,38600.47619,18776.48918,62317.84416,93169.68398,86182.39827,59610.90909,46285.39827,38248.64502,545472.987,76737.1039
M321_R784_3137,784.2572021,13.07,321.2331556,0,0,0,0,0,0,0,18247.42857,13201.04762,7663.264069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16381.04329,0,0,0,0,0,0,0,0,0,7069.701299
M321_R889_3135,888.8699646,14.81,321.2427169,0,46338.48485,9921.571429,17127.31169,23403.39394,24098.57576,0,42614.88312,13725.30736,11130.52814,13343.00866,0,0,0,0,8922.212121,24075.4026,17367.70563,37938.13853,40990.63636,46820.58442,27450.66234,13031.26407,0,10907.57143,15610.30303,12262.34632,14891.00866,0,0,0,0,0,0,0,7296.380952,11367.54113,16095.81385,13489.32035,16479.72727,22332.54978,15319.4632,12998.04762
M321_R684_3136,683.9060669,11.4,321.243454,0,0,0,0,0,0,0,13045.1342,9385.632035,17042.02597,12454.47186,0,7926.285714,15923.32468,28495.68398,0,16003.85281,0,0,0,0,0,0,0,17513.93939,0,0,0,0,6561.329004,0,6178.225108,84888.4026,0,0,7038.666667,8782.415584,8476.91342,0,0,0,0,38854.06061
M321_R810_3139,809.6350708,13.49,321.2798767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8956.822511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6364.744589,26526.10823,0,0
M321_R1128_3140,1127.788452,18.8,321.2799072,0,6120.69697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R855_3141,855.2059631,14.25,321.2908421,0,15120.70996,75743.96537,22378.62338,26403.671,27394.54545,82332.63203,69818.83983,19745.88312,15356.8658,14907.26407,0,7616.077922,14277.14286,12937.66667,18757.14719,25041.10823,0,23512.74026,30631.59307,29393.36797,17640.63203,0,0,0,0,0,0,24976.14286,8691.047619,16087.30736,0,0,0,0,9232.350649,17491.08225,30429.18615,17235.42857,13648.77489,27971.75325,13644.71429,26946.2684
M321_R991_3142,990.7792969,16.51,321.3171692,0,0,0,0,0,0,8743.073593,0,0,0,0,0,0,0,0,0,0,0,0,7564.341991,7285.91342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M321_R855_3143,855.1984558,14.25,321.3556593,0,35563.32468,157293.4242,62521.30736,68702.78788,77223.62338,165106.5022,154444.8615,50136.36797,36986.04329,33046.27706,10872.27273,19883.73593,36614.02597,34652.78788,41716.25108,68631.95238,9021.060606,66307.61039,84322.09957,77406.25541,43025.69264,0,0,0,0,0,0,61678.35065,21753.74459,34425.95238,0,0,0,0,24077.18615,38677.65801,64244.2381,43421.27706,32107.98268,70413.5368,33419.05195,85992.81818
M321_R638_3144,637.5892944,10.63,321.3645325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12641.45455,0
M321_R855_3145,855.2194214,14.25,321.4318683,0,11693.65368,21226.27273,27003.90909,34418.09524,39871.95238,117568.2035,107423.1212,0,12290.60173,11022.92641,0,0,12194.19481,9462.454545,15068.87013,31476.77922,0,28659.06494,46869.41558,41701.91775,14134.17316,0,0,0,0,0,0,27542.12121,0,0,0,0,0,0,0,14613.45022,27303.71861,15105.96104,9897.264069,15384.55411,10705.08225,43872.08658
M321_R855_3146,854.9610596,14.25,321.4905236,0,16637.0303,21156.36797,24226.68398,30476.81818,31020.25974,40394.50649,68432.65801,22346.77489,16138.39827,15074.9697,0,0,16191.4329,13751.62338,18857.06926,29587.11255,0,28070.96537,33520.92208,31856.99567,20271.50649,0,0,0,0,0,0,26668.42424,0,15375.80519,0,0,0,0,0,17317.24675,28405.84848,19155.48485,15091.15152,28744.28571,15496.88312,36545.80519
M322_R855_3147,854.9610596,14.25,321.5460349,0,7228.627706,18024.80952,14733.4632,16138.85281,16883.31169,23334.62338,17153.97835,11960.88312,7650.480519,0,0,0,0,0,10456.64069,17320.72727,0,15562.32035,18557.51515,15852.29004,10477.69697,0,0,0,0,0,0,14626.60173,0,0,0,0,0,0,0,8074.320346,16500.84416,10108.12554,0,15692.61905,0,18545.23377
M322_R855_3148,854.7034912,14.25,321.6213074,0,0,27616.61905,6501.52381,8949.584416,11070.81385,28864.57576,0,0,0,0,0,0,0,0,0,9154.623377,0,0,12416.20346,10607.1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8981.372294,0,13227.58009
M322_R472_3149,471.8767395,7.86,322.1459351,0,0,0,0,0,0,0,0,0,0,0,0,8186.558442,11853.01732,51549.38961,43386.44156,0,0,0,0,0,0,0,0,0,6148.311688,0,5959.636364,0,9816.229437,15296.86147,0,10805.9697,0,0,0,0,0,0,0,0,8998.883117,0
M322_R443_3150,442.6027222,7.38,322.1743522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10731.70996
M322_R374_3151,374.1659241,6.24,322.1750437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7636.30303
M322_R679_3152,678.6966248,11.31,322.1771918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10191.81818,15993.88312,0,13517.80519,15050.62771,15387.63636,0,13700.70996,9415.78355,19823.31169,9860.536797,8485.515152,12120.32468,6261.593074,22840.06494,26380.4329,0,35970.91775,0,0,0,6308.285714,6298.060606,6761.467532,8985.506494,0,0,12648.77056
M322_R515_3156,515.4292908,8.59,322.2098132,0,0,0,6559.805195,8713.229437,8973.359307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7287.181818,0,0,0,0,10276.15152,0,0,0,53904.1342
M322_R1051_3154,1051.46228,17.52,322.213585,0,0,0,0,0,0,20571.07792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19082.671,0,0,0,0,0,0,0,0,0,0,0,22537.86147,0,0
