mz,rt,intensity,CCS,Compound,NeutralFormula,CAS,SuperClass,Class,Subclass
496.7023,114,7297,171.4,"2,3,4,5,6-Pentabromodiphenyl ether",C12H5Br5O,1163-19-5,Benzenoids,Benzene and substituted derivatives,Diphenylethers
213.0557,373,14363,155.8,3-Phenoxybenzoic acid,C13H10O3,3739-38-6,Benzenoids,Benzene and substituted derivatives,Diphenylethers
340.8813,1542,8562,160.1,"2,2',4-Tribromodiphenyl ether",C12H7Br3O,147217-75-2,Benzenoids,Benzene and substituted derivatives,Diphenylethers
496.7023,1101,2852,176.4,"2,2',3,4,4'-Pentabromodiphenyl ether",C12H5Br5O,182346-21-0,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,1516,6607,183.9,"2,2',3,3',4,4'-Hexabromodiphenyl Ether",C12H4Br6O,182677-28-7,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,150,7184,184.2,"2,2',3,4,4',5'-Hexabromodiphenyl ether",C12H4Br6O,182677-30-1,Benzenoids,Benzene and substituted derivatives,Diphenylethers
418.7918,619,5226,169.7,"2,3',4,4'-Tetrabromodiphenyl ether",C12H6Br4O,189084-61-5,Benzenoids,Benzene and substituted derivatives,Diphenylethers
496.7023,1055,6352,174.8,"2,2',4,4',6-Pentabromodiphenyl Ether",C12H5Br5O,189084-64-8,Benzenoids,Benzene and substituted derivatives,Diphenylethers
652.5233,1656,13125,190.4,"2,3,3',4,4',5,6-Heptabromodiphenyl ether",C12H3Br7O,189084-68-2,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,979,2453,182.9,"2,2',4,4',5,6-Hexabromodiphenyl Ether",C12H4Br6O,207122-15-4,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,1098,9116,182.6,"6'-Hydroxy-2,2',4,4',5-pentabromodiphenylether",C12H5Br5O2,297742-10-0,Benzenoids,Benzene and substituted derivatives,Diphenylethers
730.4338,1718,6884,195,"2,2',3,4,4',5,5'6-Octabromodiphenyl Ether",C12H2Br8O,32536-52-0,Benzenoids,Benzene and substituted derivatives,Diphenylethers
418.7918,1726,3681,169.2,"2,2',4,4'-Tetrabromodiphenyl ether",C12H6Br4O,5436-43-1,Benzenoids,Benzene and substituted derivatives,Diphenylethers
808.3443,118,1485,202.1,"2,2',3,3',4,4',5,5',6-Nonabromodiphenyl ether",C12H1Br9O,63387-28-0,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,1447,5712,182.9,"2,2',4,4',5,5'-Hexabromodiphenyl Ether",C12H4Br6O,68631-49-2,Benzenoids,Benzene and substituted derivatives,Diphenylethers
496.7023,1720,4403,174.9,"6-Hydroxy-2,2',4,4'-tetrabromodiphenylether",C12H6Br4O2,79755-43-4,Benzenoids,Benzene and substituted derivatives,Diphenylethers
418.7918,896,9928,171.5,"3,3',4,4'-Tetrabromodiphenyl ether",C12H6Br4O,93703-48-1,Benzenoids,Benzene and substituted derivatives,Diphenylethers
652.5233,1598,9514,189.2,"2,2',3,4,4',5',6-Heptabromodiphenyl Ether",C12H3Br7O,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
496.7023,561,14300,175.5,"2'-Hydroxy-2,3',4,5'-tetrabromodiphenyl ether",C12H6Br4O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
418.7918,1477,12071,168.6,"2'-Hydroxy-2,4,4'-tribromodiphenyl ether",C12H7Br3O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
262.9708,1471,13442,152.4,2'-Hydroxy-4-monobromodiphenyl Ether ,C12H9BrO2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
496.7023,1261,3555,176.6,"3-Hydroxy-2,2',4,4'-tetrabromodiphenylether",C12H6Br4O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,1491,3285,181.1,"3-Hydroxy-2,2',4,4',6-pentabromodiphenylether",C12H5Br5O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
340.8813,954,2905,164,"3'-Hydroxy-2,4-dibromodiphenylether",C12H8Br2O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
496.7023,831,11610,176.3,"4-Hydroxy-2,2',3,4'-tetrabromodiphenylether",C12H6Br4O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
418.7918,1299,8013,169.3,"4'-Hydroxy-2,2',4-tribromodiphenylether",C12H7Br3O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,1100,11528,184.8,"4'-Hydroxy-2,2',4,5,5'-pentabromodiphenylether",C12H5Br5O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
496.7023,1475,5067,176.9,"5-Hydroxy-2,2',4,4'-tetrabromodiphenylether",C12H6Br4O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,618,9205,183.7,"5'-Hydroxy-2,2',4,4',5-pentabromodiphenylether",C12H5Br5O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
574.6128,654,12520,182.9,"6-Hydroxy-2,2',3,4,4'-pentabromodiphenylether",C12H5Br5O2,,Benzenoids,Benzene and substituted derivatives,Diphenylethers
286.9436,1427,7893,158.9,Triclosan,C12H7Cl3O2,3380-34-5,Benzenoids,Benzene and substituted derivatives,Diphenylethers
227.1072,1388,9273,163.5,Bisphenol A,C15H16O2,1980-05-07,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
693.1797,1162,10202,246.3,Bisphenol A bis(diphenyl phosphate),C39H34O8P2,5945-33-5,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
715.1621,1736,10872,256.6,Bisphenol A bis(diphenyl phosphate),C39H34O8P2,5945-33-5,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
671.1097,1618,13378,230.1,Bisphenol AF,C15H10F6O2,1478-61-1,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
335.0501,860,8161,166.1,Bisphenol AF,C15H10F6O2,1478-61-1,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
241.1235,300,4161,167.2,Bisphenol B,C16H18O2,77-40-7,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
278.9991,1002,12707,165.3,Bisphenol C,C14H10Cl2O2,14868-03-2,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
199.0765,622,11979,155.1,Bisphenol F,C13H12O2,620-92-8,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
345.1864,324,12473,180.6,Bisphenol P,C24H26O2,2167-51-3,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
267.1389,1041,7408,174.2,Bisphenol Z,C18H20O2,843-55-0,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
472.3215,403,13521,227,Terfenadine,C32H41NO2,50679-08-8,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes
177.0915,1197,7111,133.2,Methyleugenol,C11H14O2,93-15-2,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes
179.1072,708,2844,138.1,Methyleugenol,C11H14O2,93-15-2,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes
201.0891,1799,11107,159.3,Methyleugenol,C11H14O2,93-15-2,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes
231.0745,900,10158,147.8,Fluometuron,C10H11F3N2O,2164-17-2,Benzenoids,Benzene and substituted derivatives,N-phenylureas
233.0902,1323,8087,151.2,Fluometuron,C10H11F3N2O,2164-17-2,Benzenoids,Benzene and substituted derivatives,N-phenylureas
255.0721,675,11694,160.2,Fluometuron,C10H11F3N2O,2164-17-2,Benzenoids,Benzene and substituted derivatives,N-phenylureas
231.0092,1077,10357,149.4,Diuron,C9H10Cl2N2O,330-54-1,Benzenoids,Benzene and substituted derivatives,N-phenylureas
233.0248,1540,11915,152.3,Diuron,C9H10Cl2N2O,330-54-1,Benzenoids,Benzene and substituted derivatives,N-phenylureas
255.0068,1305,9882,161.7,Diuron,C9H10Cl2N2O,330-54-1,Benzenoids,Benzene and substituted derivatives,N-phenylureas
138.0919,147,13495,122.6,Tyramine,C8H11NO,51-67-2,Benzenoids,Benzene and substituted derivatives,Phenethylamines
160.0738,1472,2986,138.4,Tyramine,C8H11NO,51-67-2,Benzenoids,Benzene and substituted derivatives,Phenethylamines
573.2755,490,4101,240.7,2-ethylhexyl phenyl phosphate,C14H23O4P,,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds
571.2602,1303,7151,236.4,2-ethylhexyl phenyl phosphate,C14H23O4P,,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds
309.1229,1245,8834,183.4,2-ethylhexyl phenyl phosphate,C14H23O4P,,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds
285.127,1165,7219,170.5,2-ethylhexyl phenyl phosphate,C14H23O4P,,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds
167.0345,357,12280,132.7,Homogentisate,C8H8O4,451-13-8,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids
151.0417,314,8658,130.7,2-Hydroxyphenylacetate,C8H8O3,611-71-2,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids
455.291,1165,10993,205.4,Verapamil,C27H38N2O4,52-53-9,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines
205.1597,434,4155,156.7,4-t-Octylphenol,C14H22O,140-66-9,Benzenoids,Benzene and substituted derivatives,Phenylpropanes
383.3889,1210,8324,186.3,Methyl Tetracosanoate,C25H50O2,2442-49-1,Benzenoids,Benzene and substituted derivatives,Phenylpropanes
179.0344,991,1164,147.1,4-Hydroxyphenylpyruvic Acid,C9H8O4,156-39-8,Benzenoids,Benzene and substituted derivatives,Phenylpyruvic acid derivatives
307.1185,906,13818,168.4,Mono(2-ethyl-5-carboxypentyl) terephthalate,C16H20O6,,Benzenoids,Benzene and substituted derivatives,
359.1466,439,10180,183.6,Mono(2-propyl-6-carboxyhexyl) phthalate,C18H24O6,,Benzenoids,Benzene and substituted derivatives,
335.15,116,8502,179.6,Mono(2-propyl-6-carboxyhexyl) phthalate,C18H24O6,,Benzenoids,Benzene and substituted derivatives,
375.1048,892,8288,187.6,Mono-1-(2-ethyl-5-carboxyhexyl)trimellitate,C17H20O8,,Benzenoids,Benzene and substituted derivatives,
351.1096,1296,14167,180.6,Mono-1-(2-ethyl-5-carboxyhexyl)trimellitate,C17H20O8,,Benzenoids,Benzene and substituted derivatives,
335.1131,1596,10521,178.8,Mono-1-(2-ethyl-5-oxo-hexyl) trimellitate,C17H20O7,,Benzenoids,Benzene and substituted derivatives,
375.1052,467,14820,189.8,Mono-1-[2(carboxymethyl)hexyl] trimellitate,C17H20O8,,Benzenoids,Benzene and substituted derivatives,
351.1097,1657,14062,182.2,Mono-1-[2(carboxymethyl)hexyl] trimellitate,C17H20O8,,Benzenoids,Benzene and substituted derivatives,
359.1467,544,5768,182.6,Mono-carboxy-isononyl phthalate,C18H24O6,,Benzenoids,Benzene and substituted derivatives,
335.1496,1420,14875,177.5,Mono-carboxy-isononyl phthalate,C18H24O6,,Benzenoids,Benzene and substituted derivatives,
321.204,1430,1242,185.9,"Mono-isononyl-cyclohexane-1,2-dicarboxylate",C17H30O4,,Benzenoids,Benzene and substituted derivatives,
297.2067,237,4462,175.5,"Mono-isononyl-cyclohexane-1,2-dicarboxylate",C17H30O4,,Benzenoids,Benzene and substituted derivatives,
151.0412,628,14120,130.6,Mandelate,C8H8O3,90-64-2,Benzenoids,Benzene and substituted derivatives,
270.9461,439,13305,156.3,"3,3,4,4-Tetrachlorobiphenyl",C12H6Cl4,,Benzenoids,Benzene and substituted derivatives,
200.0282,996,3867,144.1,Thiabendazole,C10H7N3S,148-79-8,Organoheterocyclic compounds,Benzimidazoles,
224.0258,1343,2650,163.1,Thiabendazole,C10H7N3S,148-79-8,Organoheterocyclic compounds,Benzimidazoles,
145.0762,1269,12943,130,"5,6-Dimethylbenzimidazole",C9H10N2,582-60-5,Organoheterocyclic compounds,Benzimidazoles,
147.0913,864,3317,130.4,"5,6-Dimethylbenzimidazole",C9H10N2,582-60-5,Organoheterocyclic compounds,Benzimidazoles,
247.0319,1523,12740,147.8,Fludioxonil,C12H6F2N2O2,131341-86-1,Organoheterocyclic compounds,Benzodioxoles,
271.0295,716,12315,164.6,Fludioxonil,C12H6F2N2O2,131341-86-1,Organoheterocyclic compounds,Benzodioxoles,
191.0708,1012,3356,144.2,Myristicin,C11H12O3,607-91-0,Organoheterocyclic compounds,Benzodioxoles,
193.0865,1007,2061,140.8,Myristicin,C11H12O3,607-91-0,Organoheterocyclic compounds,Benzodioxoles,
421.0771,1536,2201,195.1,Mangiferin,C19H18O11,4773-96-0,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans
423.0927,1545,1569,195.4,Mangiferin,C19H18O11,4773-96-0,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans
182.0099,285,10116,131.3,2-(Methylthio)benzothiazole,C8H7NS2,615-22-5,Organoheterocyclic compounds,Benzothiazoles,
151.0329,543,5028,128.6,2-Aminobenzothiazole,C7H6N2S,136-95-8,Organoheterocyclic compounds,Benzothiazoles,
149.0176,390,11937,122.7,2-Aminobenzothiazole,C7H6N2S,136-95-8,Organoheterocyclic compounds,Benzothiazoles,
152.0166,1425,10232,130.2,2-Hydroxy benzothiazole,C7H5NOS,934-34-9,Organoheterocyclic compounds,Benzothiazoles,
150.0022,1176,7039,123.8,2-Hydroxybenzothiazole,C7H5NOS,934-34-9,Organoheterocyclic compounds,Benzothiazoles,
158.0038,1486,3632,134.7,Benzothiazole,C7H5NS,95-16-9,Organoheterocyclic compounds,Benzothiazoles,
134.0705,532,4337,126.8,4-Methylbenzotriazole,C7H7N3,29878-31-7,Organoheterocyclic compounds,Benzotriazoles,
132.0565,257,10981,123.7,4-Methylbenzotriazole,C7H7N3,29878-31-7,Organoheterocyclic compounds,Benzotriazoles,
148.087,433,7811,131.3,"5,6-Dimethylbenzotriazole",C8H9N3,4184-79-6,Organoheterocyclic compounds,Benzotriazoles,
146.0726,651,4563,130.8,"5,6-Dimethylbenzotriazole",C8H9N3,4184-79-6,Organoheterocyclic compounds,Benzotriazoles,
154.0164,652,10077,131.9,5-Chlorobenzotriazole,C6H4ClN3,94-97-3,Organoheterocyclic compounds,Benzotriazoles,
152.0019,1521,4289,122.5,5-Chlorobenzotriazole,C6H4ClN3,94-97-3,Organoheterocyclic compounds,Benzotriazoles,
132.0569,1133,8549,124.6,5-methyl-1H-benzotriazole,C7H7N3,136-85-6,Organoheterocyclic compounds,Benzotriazoles,
118.0413,300,9058,118.3,Benzotriazole,C6H5N3,273-02-9,Organoheterocyclic compounds,Benzotriazoles,
120.0566,1013,6297,122.4,Benzotriazole,C6H5N3,95-14-7,Organoheterocyclic compounds,Benzotriazoles,
265.062,1173,598,152.9,D-Biotin,C10H16N2O3S,58-85-5,Organoheterocyclic compounds,Biotin and derivatives,
283.0494,1462,12206,160.6,D-Biotin,C10H16N2O3S,58-85-5,Organoheterocyclic compounds,Biotin and derivatives,
243.0835,684,5174,157.1,D-Biotin,C10H16N2O3S,58-85-5,Organoheterocyclic compounds,Biotin and derivatives,
245.0959,863,11114,151.4,D-Biotin,C10H16N2O3S,58-85-5,Organoheterocyclic compounds,Biotin and derivatives,
267.0787,728,916,161.6,D-Biotin,C10H16N2O3S,58-85-5,Organoheterocyclic compounds,Biotin and derivatives,
131.1179,134,12124,128.4,N-Acetylputrescine,C6H14N2O,18233-70-0,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids
153.0998,1799,7646,134.3,N-Acetylputrescine,C6H14N2O,18233-70-0,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids
184.9842,1572,9994,115.2,PMPA,C4HF7O3,13140-29-9,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
234.9817,219,13564,120.9,PEPA,C5HF9O3,267239-61-2,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
112.985,1379,11887,108.4,Trifluoroacetic Acid,CF3COOH,3336-58-1,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
376.9546,518,11752,146.7,PFO4DA,C6HF11O6,39492-90-5,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
658.942,635,2199,198.6,Hexafluoropropylene oxide dimer acid,C6HF11O3,13252-13-6,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
284.9775,782,6416,126.9,Hexafluoropropylene oxide dimer acid,C6HF11O3,13252-13-6,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
284.9779,195,11466,127.5,GenX,C6HF11O3,62037-80-3,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
426.9659,1281,11432,152.6,Hydro-EVE,C8H2F14O4,773804-62-9,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
426.9659,160,3333,151.6,Hydro-EVE,C8H2F14O4,773804-62-9,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives
132.0652,1791,10596,130.7,5-Aminolevulinate,C5H9NO3,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
245.0926,600,3337,161.4,N-Acetyl-D-Tryptophan,C13H14N2O3,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
247.1083,1446,9881,154.7,N-Acetyl-D-tryptophan,C13H14N2O3,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
269.0902,1056,10499,161.7,N-Acetyl-D-tryptophan,C13H14N2O3,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
523.8904,835,2419,188.2,"3,5-Diiodo-L-thryonine",C15H13I2NO4,1041-01-6,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
525.8993,520,2941,198.4,"3,5-Diiodo-L-thryonine",C15H13I2NO4,1041-01-6,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
547.8813,1302,12825,189.2,"3,5-Diiodo-L-thryonine",C15H13I2NO4,1041-01-6,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
168.0063,1256,2617,128.6,Glyphospate,C3H8NO5P,1071-83-6,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
192.0039,384,14605,140.3,Glyphospate,C3H8NO5P,1071-83-6,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
617.3775,898,4972,247.8,FVVPR (Tryptic Peptide),C30H48N8O6,1071967-08-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
617.3775,1448,7793,252.6,FVVPR (Tryptic Peptide),C30H48N8O6,1071967-08-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
118.0868,1248,8600,121.1,Betaine,C5H11NO2,107-43-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
156.041,1262,6525,130.4,Betaine,C5H11NO2,107-43-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
118.0853,1703,5969,121.1,Betaine,C5H11NO2,107-43-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
140.067,820,11697,133.8,Betaine,C5H11NO2,107-43-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
1046.5423,604,14252,314,Angiotensin II,C50H71N13O12,11128-99-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
523.7751,1599,9258,314,Angiotensin II,C50H71N13O12,11128-99-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
349.5193,1543,10005,354.4,Angiotensin II,C50H71N13O12,11128-99-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
190.0545,286,8773,142.7,N-Acetylmethionine,C7H13NO3S,1115-47-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
214.0505,314,4851,150.2,N-Acetylmethionine,C7H13NO3S,1115-47-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
104.0712,591,12235,123.1,"N,N-Dimethylglycine",C4H9NO2,1118-68-9,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
172.0976,654,2832,140.7,N-Acetylleucine,C8H15NO3,1188-21-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
196.0944,232,4417,150.1,N-Acetylleucine,C8H15NO3,1188-21-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
210.0387,1242,4077,143.5,N-Acetylglutamate,C7H11NO5,1188-37-0,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
188.0563,664,11954,137,N-Acetylglutamate,C7H11NO5,1188-37-0,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
212.054,989,3263,142.5,N-Acetylglutamate,C7H11NO5,1188-37-0,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
832.4569,639,3183,278.2,AWEVTVK (Tryptic Peptide),C39H61N9O11,1258862-16-6,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
1262.5945,452,8927,355.5,VFADYEEYVK (Tryptic Peptide),C60H83N11O19,1258862-19-9,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
201.1361,1359,6787,148.1,"N,N?-Dimethyl-L-arginine",C8H18N4O2,1266235-58-8,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
118.0868,129,7935,124.7,Methyl-4-aminobutyrate,C5H11NO2,13031-60-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
161.0933,766,8731,134.2,5-Hydroxylysine,C6H14N2O3,13204-98-3,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
163.1076,1095,13548,135,5-Hydroxylysine,C6H14N2O3,13204-98-3,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
185.0896,557,2070,137.7,5-Hydroxylysine,C6H14N2O3,13204-98-3,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
634.3922,306,7597,248.5,IFVQK (Tryptic Peptide),C31H51N7O7,135713-42-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
317.6998,1711,970,286.1,IFVQK (Tryptic Peptide),C31H51N7O7,135713-42-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
779.4484,1305,6569,274.9,MIFAGIK (Tryptic Peptide),C37H62N8O8S,135713-46-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
390.2278,106,11956,306.1,MIFAGIK (Tryptic Peptide),C37H62N8O8S,135713-46-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
964.5349,970,12226,307,EDLIAYLK (Tryptic Peptide),C45H73N9O14,135713-47-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
477.1761,745,14674,203,Calcium Pantothenate,C18H32CaN2O10,137-08-6,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
1229.6741,1488,4023,352.4,GLAGVENVTELK (Tryptic Peptide),C53H92N14O19,1430334-26-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
1278.539,666,9231,351,GYNAQEYYDR (Tryptic Peptide),C56H75N15O20,1430334-28-3,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
604.3453,724,10688,236.1,GITWK (Tryptic Peptide),C29H45N7O7,143784-28-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
302.6763,1130,10732,274,GITWK (Tryptic Peptide),C29H45N7O7,143784-28-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
104.0705,517,13291,124.2,3-Amino-2-methylpropanoic acid,C4H9NO2,144-90-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
195.9888,1252,689,150,Selenomethionine,C5H11NO2Se,1464-42-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
198.0009,1417,10301,135.4,Selenomethionine,C5H11NO2Se,1464-42-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
219.9828,1617,11777,138.2,Selenomethionine,C5H11NO2Se,1464-42-2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
116.0706,1731,2649,125.8,L-Proline,C5H9NO2,147-85-3,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
114.0564,471,1440,125.1,L-Proline,C5H9NO2,147-85-3,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
116.0703,1648,5332,125.4,L-Proline,C5H9NO2,147-85-3,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
472.1581,1051,2145,201.7,Leucovorin,C20H23N7O7,1492-18-8,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
474.1737,556,13987,197.5,Leucovorin,C20H23N7O7,1492-18-8,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
240.049,1217,1224,145.9,O-Succinyl-homoserine,C8H13NO6,1492-23-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
220.0798,1219,11475,146.2,O-Succinyl-homoserine,C8H13NO6,1492-23-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
242.0617,174,13781,146,O-Succinyl-homoserine,C8H13NO6,1492-23-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
132.1024,121,611,133.6,L-allo-Isoleucine,C6H13NO2,1509-34-8,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
130.0868,359,2901,133.4,L-allo-Isoleucine,C6H13NO2,1509-34-8,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
132.1024,1053,13641,133.5,D-allo-Isoleucine,C6H13NO2,1509-35-9,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
130.0868,1641,13448,132.7,D-allo-Isoleucine,C6H13NO2,1509-35-9,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
839.4991,1665,10614,289.5,IHSEILK (Tryptic Peptide),C38H66N10O11,1590388-96-7,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
627.383,1251,12592,245.4,IPELR (Tryptic Peptide),C28H50N8O8,1590388-99-0,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
1440.7374,1168,3326,382.7,LLSYVDDEAFIR (Tryptic Peptide),C66H101N15O21,1590389-32-4,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
144.0661,747,4738,140.7,Isobutyrylamino Acetic Acid,C6H11NO3,15926-18-8,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
